CMC_id,CMC_rank,name,ticker,source_code,check_source,notes,repo,forge,criticality,web_primary,web_secondary,alexa_rank,stars,forks,authors,commits,comments,PR_open,avg_resp_time,med_resp_time,avg_longevity_days
1839,3,Binance Coin,BNB,https://github.com/binance-chain/bsc,y,fork of go-ethereum,binance-chain/bsc,github,,https://www.binance.com/,,141,55,25,3.33,8,9,4.5,18.69,1.88,54.86
1,1,Bitcoin,BTC,https://github.com/bitcoin/bitcoin,y,,bitcoin/bitcoin,github,0.86864,https://bitcoin.org/,,4955,53646,26356,125.33,365,3107.33,154.67,25.04,4.74,390.51
1027,2,Ethereum,ETH,https://github.com/ethereum/go-ethereum,y,,ethereum/go-ethereum,github,0.82297,https://www.ethereum.org/,,5558,30598,12090,100,65.67,666.33,74.33,20.11,2.18,243.06
3783,86,Ankr,ANKR,https://github.com/Ankr-network/dccn-common,y,,Ankr-network/dccn-common,github,,https://www.ankr.com/,,5736,14,4,1.5,10.33,0,5,0.11,0.02,200.44
825,5,Tether,USDT,private,y,,,,,https://tether.to,,38719,,,,,,,,,
2010,6,Cardano,ADA,https://github.com/input-output-hk/cardano-node,y,IOHK,input-output-hk/cardano-node,github,0.63504,https://www.cardano.org,,7301,357,139,41,1050.33,651.33,97,11.25,1.06,139.99
2300,159,WAX,WAXP,https://github.com/worldwide-asset-exchange/wax-blockchain,y,,worldwide-asset-exchange/wax-blockchain,github,,https://wax.io/,,10217,37,10,1.5,2881,2.67,2.5,69.93,7.99,134.17
7278,30,Aave,AAVE,https://github.com/aave/aave-protocol,y,,aave/aave-protocol,github,0.25848,https://aave.com/,https://ethlend.io,10597,363,187,3.33,3.67,0.33,2.5,62.27,21.3,91.57
7208,195,Polkastarter,POLS,https://github.com/polkastarter/polkastarter-js,y,polkadot kickstarter,polkastarter/polkastarter-js,github,,https://www.polkastarter.com/,,10947,2,0,0,11,0,0,0,0,31
1966,66,Decentraland,MANA,https://github.com/decentraland/decentraland-dapps,y,,decentraland/decentraland-dapps,github,,https://decentraland.org/,,13153,38,20,2.5,3,2.33,3,14.9,0.84,401.9
6636,7,Polkadot,DOT,https://github.com/paritytech/polkadot,y,See Substrate for pre 2018 repo history,paritytech/polkadot,github,0.61972,https://polkadot.network/,,15695,2242,528,45.33,899,723,90.67,8.06,0.98,267.67
1831,12,Bitcoin Cash,BCH,https://gitlab.com/bitcoin-cash-node/bitcoin-cash-node,y,,bitcoin-cash-node/bitcoin-cash-node,gitlab,,http://bch.info,,311242,,,,,,,,,
5665,89,Helium,HNT,https://github.com/helium/blockchain-core,y,,helium/blockchain-core,github,,https://www.helium.com/,,15835,19,11,7.67,395,70.67,25.67,8,0.95,272.21
