CMC_id,CMC_rank,name,ticker,web_primary,web_secondary,source_code,check_source,notes,repo,forge
1,1,Bitcoin,BTC,https://bitcoin.org/,,https://github.com/bitcoin/bitcoin,y,,bitcoin/bitcoin,github
1027,2,Ethereum,ETH,https://www.ethereum.org/,https://en.wikipedia.org/wiki/Ethereum,https://github.com/ethereum/go-ethereum,y,,ethereum/go-ethereum,github
825,3,Tether,USDT,https://tether.to,,private,y,,,
1839,4,BNB,BNB,https://www.binance.com/,,https://github.com/bnb-chain/bsc,y,fork of go-ethereum; updated repo to bnb-chain mar.2022,bnb-chain/bsc,github
3408,5,USD Coin,USDC,https://www.centre.io/usdc,,https://github.com/centrehq/centre-tokens,y,SC,centrehq/centre-tokens,github
52,6,XRP,XRP,https://xrpl.org/,,https://github.com/ripple/rippled,y,,ripple/rippled,github
4172,7,Terra,LUNA,https://terra.money/,,https://github.com/terra-project/core,y,,terra-project/core,github
2010,8,Cardano,ADA,https://www.cardano.org,,https://github.com/input-output-hk/cardano-node,y,IOHK,input-output-hk/cardano-node,github
5426,9,Solana,SOL,https://solana.com,,https://github.com/solana-labs/solana,y,,solana-labs/solana,github
5805,10,Avalanche,AVAX,https://avax.network/,https://www.avalabs.org/,https://github.com/ava-labs/avalanchego,y,,ava-labs/avalanchego,github
6636,11,Polkadot,DOT,https://polkadot.network/,,https://github.com/paritytech/polkadot,y,See Substrate for pre 2018 repo history,paritytech/polkadot,github
4687,12,Binance USD,BUSD,https://www.binance.com/en/busd,https://www.paxos.com/busd/,https://github.com/paxosglobal/busd-contract,y,SC,paxosglobal/busd-contract,github
74,13,Dogecoin,DOGE,http://dogecoin.com/,,https://github.com/dogecoin/dogecoin,y,,dogecoin/dogecoin,github
7129,14,TerraUSD,UST,https://terra.money,,https://github.com/terra-project/core,y,,terra-project/core,github
5994,15,Shiba Inu,SHIB,https://shibatoken.com/,,private,y,,,
3890,16,Polygon,MATIC,https://polygon.technology/,,https://github.com/maticnetwork/bor,y,2nd layer plasma scaling on ethereum; now polygon,maticnetwork/bor,github
3717,17,Wrapped Bitcoin,WBTC,https://wbtc.network,,https://github.com/WrappedBTC/bitcoin-token-smart-contracts,y,wToken,WrappedBTC/bitcoin-token-smart-contracts,github
3635,18,Cronos,CRO,https://www.crypto.com/en/chain,,private,y,,,
4943,19,Dai,DAI,http://www.makerdao.com/,,https://github.com/makerdao/dss,y,SC,makerdao/dss,github
2,20,Litecoin,LTC,https://litecoin.org/,,https://github.com/litecoin-project/litecoin,y,,litecoin-project/litecoin,github
3794,21,Cosmos,ATOM,https://cosmos.network/,,https://github.com/cosmos/cosmos-sdk,y,,cosmos/cosmos-sdk,github
6535,22,NEAR Protocol,NEAR,https://near.org/,,https://github.com/nearprotocol/nearcore,y,,nearprotocol/nearcore,github
1975,23,Chainlink,LINK,https://chain.link/,https://smartcontract.com/,https://github.com/smartcontractkit/chainlink,y,,smartcontractkit/chainlink,github
7083,24,Uniswap,UNI,https://uniswap.org/blog/uni/,https://uniswap.org/,https://github.com/Uniswap/v3-core,y,recently upgraded to v3; repo changed from 'uniswap-v3-core' to 'v3-core',Uniswap/v3-core,github
1831,25,Bitcoin Cash,BCH,http://bch.info,,https://gitlab.com/bitcoin-cash-node/bitcoin-cash-node,y,,bitcoin-cash-node/bitcoin-cash-node,gitlab
1958,26,TRON,TRX,https://tron.network/,,https://github.com/tronprotocol/java-tron,y,,tronprotocol/java-tron,github
4195,27,FTX Token,FTT,https://ftx.com/,https://help.ftx.com/hc/en-us/sections/360004460952-FTX-Token-FTT,private,y,,,
3957,28,UNUS SED LEO,LEO,https://www.bitfinex.com/,,private,y,runs on bitfinex,,
4030,29,Algorand,ALGO,http://algorand.foundation,https://www.algorand.com/,https://github.com/algorand/go-algorand,y,,algorand/go-algorand,github
1321,30,Ethereum Classic,ETC,https://ethereumclassic.org/,,https://github.com/etclabscore/core-geth,y,ETC original repo; other client is mantis by IOHK written in scala,etclabscore/core-geth,github
512,31,Stellar,XLM,https://www.stellar.org,,https://github.com/stellar/stellar-core,y,,stellar/stellar-core,github
1966,32,Decentraland,MANA,https://decentraland.org/,,https://github.com/decentraland/decentraland-dapps,y,,decentraland/decentraland-dapps,github
4023,33,Bitcoin BEP2,BTCB,https://bitcoin.org/en/,,private,y,binance-wrapped BTC,,
4642,34,Hedera,HBAR,https://www.hedera.com/,,https://github.com/hashgraph/hedera-sdk-java,y,,hashgraph/hedera-sdk-java,github
