name:,url:,language:,created_since:,updated_since:,contributor_count:,org_count:,commit_frequency:,recent_releases_count:,updated_issues_count:,closed_issues_count:,comment_frequency:,dependents_count:,criticality_score:
bitcoin,https://github.com/bitcoin/bitcoin,C++,153,0,1050,3,56.2,2,4074,3595,1.1,492320,0.84683
go-ethereum,https://github.com/ethereum/go-ethereum,Go,100,0,698,7,13.6,15,574,448,1.6,81168,0.82061
bsc,https://github.com/bnb-chain/bsc,Go,100,2,614,7,3.9,14,198,150,2.4,0,0.56422
centre-tokens,https://github.com/centrehq/centre-tokens,JavaScript,50,10,16,5,0.2,1,9,3,1.2,98,0.36061
rippled,https://github.com/ripple/rippled,C++,127,2,115,7,3.1,6,106,54,1.9,5453,0.6422
core,https://github.com/terra-money/core,JavaScript,41,1,27,10,1.3,25,74,51,2.0,12,0.50643
cardano-node,https://github.com/input-output-hk/cardano-node,Haskell,35,0,113,7,19.8,10,399,211,1.7,475,0.64632
solana,https://github.com/solana-labs/solana,Rust,50,0,324,3,89.4,83,2172,1814,2.0,8798,0.77413
avalanchego,https://github.com/ava-labs/avalanchego,Go,25,0,67,1,57.2,40,71,32,1.1,683,0.56074
polkadot,https://github.com/paritytech/polkadot,Rust,50,0,171,4,25.9,24,738,553,2.2,835,0.69038
busd-contract,https://github.com/paxosglobal/busd-contract,Solidity,31,14,4,1,0.0,0,4,1,0.2,0,0.12069
dogecoin,https://github.com/dogecoin/dogecoin,C++,153,5,608,3,4.7,2,84,39,2.2,199,0.5686
core,https://github.com/terra-money/core,JavaScript,41,1,27,10,1.3,25,74,51,2.0,12,0.50643
bor,https://github.com/maticnetwork/bor,Go,100,0,663,8,11.4,21,113,68,1.8,81,0.68323
bitcoin-token-smart-contracts,https://github.com/WrappedBTC/bitcoin-token-smart-contracts,JavaScript,44,10,11,2,0.1,0,3,0,0.3,2,0.19913
dss,https://github.com/makerdao/dss,Solidity,47,0,24,3,0.3,11,22,18,3.3,258,0.50424
